datetime,units,updated_at,value,variable
2022-12-29T11:40:30Z,w,2022-12-29T12:00:04Z,65.25,pv_1_pac
2022-12-29T11:35:30Z,w,2022-12-29T12:00:04Z,51.875,pv_1_pac
2022-12-29T11:30:29Z,w,2022-12-29T12:00:04Z,50.285714,pv_1_pac
2022-12-29T11:25:29Z,w,2022-12-29T12:00:04Z,54.25,pv_1_pac
2022-12-29T11:20:29Z,w,2022-12-29T12:00:04Z,42.285714,pv_1_pac
2022-12-29T11:15:29Z,w,2022-12-29T11:30:04Z,23.0,pv_1_pac
2022-12-29T11:10:29Z,w,2022-12-29T11:30:04Z,24.375,pv_1_pac
2022-12-29T11:05:29Z,w,2022-12-29T11:30:04Z,17.375,pv_1_pac
2022-12-29T11:00:29Z,w,2022-12-29T11:30:04Z,24.25,pv_1_pac
2022-12-29T10:55:29Z,w,2022-12-29T11:30:04Z,15.25,pv_1_pac
2022-12-29T10:50:29Z,w,2022-12-29T11:30:04Z,20.857143,pv_1_pac
2022-12-29T10:45:29Z,w,2022-12-29T11:00:03Z,20.375,pv_1_pac
2022-12-29T10:40:29Z,w,2022-12-29T11:00:03Z,11.75,pv_1_pac
2022-12-29T10:35:29Z,w,2022-12-29T11:00:03Z,18.125,pv_1_pac
2022-12-29T10:30:30Z,w,2022-12-29T11:00:03Z,12.285714,pv_1_pac
2022-12-29T10:25:30Z,w,2022-12-29T11:00:03Z,13.444444,pv_1_pac
2022-12-29T10:20:30Z,w,2022-12-29T10:30:04Z,18.0,pv_1_pac
2022-12-29T10:15:30Z,w,2022-12-29T10:30:04Z,39.285714,pv_1_pac
2022-12-29T10:10:30Z,w,2022-12-29T10:30:04Z,56.555556,pv_1_pac
2022-12-29T10:05:30Z,w,2022-12-29T10:30:04Z,54.0,pv_1_pac
2022-12-29T10:00:30Z,w,2022-12-29T10:30:04Z,41.571429,pv_1_pac
2022-12-29T09:55:30Z,w,2022-12-29T10:30:04Z,33.375,pv_1_pac
2022-12-29T09:50:30Z,w,2022-12-29T10:00:04Z,35.125,pv_1_pac
2022-12-29T09:45:30Z,w,2022-12-29T10:00:04Z,18.875,pv_1_pac
2022-12-29T09:40:30Z,w,2022-12-29T10:00:04Z,24.714286,pv_1_pac
2022-12-29T09:35:30Z,w,2022-12-29T10:00:04Z,25.625,pv_1_pac
2022-12-29T09:30:30Z,w,2022-12-29T10:00:04Z,25.285714,pv_1_pac
2022-12-29T09:25:30Z,w,2022-12-29T10:00:04Z,37.0,pv_1_pac
2022-12-29T09:20:30Z,w,2022-12-29T10:00:04Z,25.875,pv_1_pac
2022-12-29T09:15:30Z,w,2022-12-29T09:30:03Z,17.857143,pv_1_pac
2022-12-29T09:10:30Z,w,2022-12-29T09:30:03Z,21.428571,pv_1_pac
2022-12-29T09:05:30Z,w,2022-12-29T09:30:03Z,20.888889,pv_1_pac
2022-12-29T09:00:30Z,w,2022-12-29T09:30:03Z,22.428571,pv_1_pac
2022-12-29T08:55:30Z,w,2022-12-29T09:30:03Z,21.125,pv_1_pac
2022-12-29T08:50:50Z,w,2022-12-29T09:00:03Z,14.875,pv_1_pac
2022-12-29T08:45:50Z,w,2022-12-29T09:00:03Z,5.857143,pv_1_pac
2022-12-29T08:40:50Z,w,2022-12-29T09:00:03Z,12.0,pv_1_pac
